employee__id,employee__code,gender,age,department__id,job__title,join__date,salary,email
1,EMP00001,Male,29.0,13.0,Intern,2023-01-15,350000,emp1@mail.com
2,EMP00002,Male,57.0,2.0,QA,,350000,emp2@mail.com
3,EMP00003,Female,46.0,3.0,Engineer,2023-01-15,600000,
4,EMP00004,Male,56.0,4.0,Engineer,,350000,
5,EMP00005,Male,34.0,2.0,QA,,800000,
6,EMP00006,Female,54.0,4.0,QA,2025-07-01,600000,
7,EMP00007,Male,57.0,19.0,Intern,,800000,emp7@mail.com
8,EMP00008,Male,24.0,19.0,Analyst,,500000,
9,EMP00009,Unknow,54.0,14.0,HR,,600000,
10,EMP00010,Male,39.0,8.0,Engineer,,350000,
11,EMP00011,Male,51.0,11.0,Intern,,800000,emp11@mail.com
12,EMP00012,Male,52.0,14.0,Engineer,2025-07-01,500000,
13,EMP00013,Female,22.0,,Analyst,,600000,
14,EMP00014,Male,42.0,20.0,Manager,,600000,emp14@mail.com
15,EMP00015,Male,37.0,16.0,Intern,2023-01-15,350000,
16,EMP00016,Unknow,56.0,,Manager,2025-07-01,600000,
17,EMP00017,Unknow,42.0,1.0,Manager,2025-07-01,500000,emp17@mail.com
18,EMP00018,Female,23.0,7.0,HR,,600000,
19,EMP00019,Female,45.0,16.0,Analyst,,600000,
20,EMP00020,Male,37.0,5.0,Manager,,800000,
21,EMP00021,Male,40.0,13.0,Engineer,,350000,
22,EMP00022,Female,34.0,,Engineer,2023-01-15,600000,
23,EMP00023,Male,38.0,1.0,Engineer,,600000,
24,EMP00024,Male,56.0,11.0,Engineer,,500000,emp24@mail.com
25,EMP00025,Female,40.0,18.0,Manager,,600000,
26,EMP00026,Male,50.0,99.0,Manager,2023-01-15,500000,emp26@mail.com
27,EMP00027,Female,48.0,6.0,Analyst,2025-07-01,600000,emp27@mail.com
28,EMP00028,Male,20.0,19.0,Engineer,,350000,
29,EMP00029,Male,21.0,3.0,Engineer,,600000,
30,EMP00030,Unknow,36.0,12.0,QA,2025-07-01,600000,emp30@mail.com
31,EMP00031,Male,51.0,15.0,Manager,,800000,emp31@mail.com
32,EMP00032,Female,26.0,11.0,Intern,2025-07-01,500000,
33,EMP00033,Male,21.0,7.0,QA,2025-07-01,500000,emp33@mail.com
34,EMP00034,Male,39.0,99.0,Analyst,2025-07-01,500000,
35,EMP00035,Female,42.0,8.0,QA,,500000,
36,EMP00036,Unknow,34.0,20.0,Engineer,,600000,
37,EMP00037,Female,53.0,16.0,HR,2023-01-15,350000,
38,EMP00038,Female,36.0,7.0,Intern,,800000,
39,EMP00039,Unknow,42.0,12.0,Analyst,,350000,
40,EMP00040,Female,32.0,11.0,Engineer,,500000,emp40@mail.com
41,EMP00041,Female,40.0,12.0,Intern,2023-01-15,600000,emp41@mail.com
42,EMP00042,Female,32.0,16.0,Engineer,,600000,
43,EMP00043,Male,45.0,15.0,Manager,2023-01-15,600000,
44,EMP00044,Female,28.0,1.0,Engineer,,600000,
45,EMP00045,Male,58.0,16.0,Intern,2025-07-01,500000,
46,EMP00046,Male,20.0,99.0,Analyst,,600000,
47,EMP00047,Female,32.0,7.0,Analyst,2025-07-01,500000,
48,EMP00048,Male,35.0,19.0,HR,2025-07-01,600000,
49,EMP00049,Female,23.0,12.0,Manager,,600000,
50,EMP00050,Male,28.0,18.0,Engineer,,600000,emp50@mail.com
51,EMP00051,Female,31.0,20.0,Analyst,,500000,
52,EMP00052,Female,59.0,4.0,QA,2023-01-15,800000,
53,EMP00053,Male,55.0,2.0,Engineer,,800000,emp53@mail.com
54,EMP00054,Male,52.0,15.0,QA,2023-01-15,350000,
55,EMP00055,Male,59.0,17.0,QA,,500000,
56,EMP00056,Female,52.0,18.0,Manager,,500000,
57,EMP00057,Male,32.0,15.0,Engineer,,350000,
58,EMP00058,Female,40.0,3.0,Intern,,600000,emp58@mail.com
59,EMP00059,Female,40.0,10.0,Analyst,,600000,
60,EMP00060,Female,36.0,5.0,Manager,,600000,emp60@mail.com
61,EMP00061,Female,51.0,6.0,Intern,,500000,
62,EMP00062,Male,45.0,11.0,Manager,,800000,
63,EMP00063,Male,43.0,1.0,HR,,600000,
64,EMP00064,Unknow,21.0,13.0,HR,,500000,
65,EMP00065,Male,24.0,4.0,Engineer,2023-01-15,350000,
66,EMP00066,Male,22.0,6.0,HR,,600000,
67,EMP00067,Female,29.0,18.0,QA,,600000,
68,EMP00068,Male,37.0,2.0,Intern,,600000,emp68@mail.com
69,EMP00069,Male,21.0,99.0,Analyst,2025-07-01,350000,
