employee_id,employee_code,gender,age,department_id,job_title,join_date,salary,email
1,EMP00001,M,29.0,13.0,Intern,2023-01-15,350000,emp1@mail.com
2,EMP00002,M,57.0,2.0,QA,15/02/2024,350000,emp2@mail.com
3,EMP00003,F,46.0,3.0,Engineer,2023-01-15,-10000,
4,EMP00004,Male,56.0,4.0,Engineer,,350000,
5,EMP00005,Male,34.0,2.0,QA,15/02/2024,800000,
6,EMP00006,Female,54.0,4.0,QA,2025-07-01,-10000,INVALID
7,EMP00007,Male,57.0,19.0,Intern,15/02/2024,800000,emp7@mail.com
8,EMP00008,male,24.0,19.0,Analyst,,500000,
9,EMP00009,,54.0,14.0,HR,,-10000,
10,EMP00010,M,39.0,8.0,Engineer,15/02/2024,350000,
11,EMP00011,male,51.0,11.0,Intern,,800000,emp11@mail.com
12,EMP00012,Male,52.0,14.0,Engineer,2025-07-01,500000,
13,EMP00013,F,22.0,,Analyst,,-10000,
14,EMP00014,M,42.0,20.0,Manager,,,emp14@mail.com
15,EMP00015,Male,37.0,16.0,Intern,2023-01-15,350000,
16,EMP00016,,56.0,,Manager,2025-07-01,6 LPA,
17,EMP00017,,42.0,1.0,Manager,2025-07-01,500000,emp17@mail.com
18,EMP00018,F,23.0,7.0,HR,15/02/2024,6 LPA,INVALID
19,EMP00019,F,45.0,16.0,Analyst,15/02/2024,,
20,EMP00020,male,37.0,5.0,Manager,,800000,
21,EMP00021,M,99.0,13.0,Engineer,15/02/2024,350000,INVALID
22,EMP00022,Female,34.0,,Engineer,2023-01-15,,INVALID
23,EMP00023,M,38.0,1.0,Engineer,,-10000,
24,EMP00024,male,56.0,11.0,Engineer,,-10000,emp24@mail.com
25,EMP00025,F,99.0,18.0,Manager,,,
26,EMP00026,Male,50.0,99.0,Manager,2023-01-15,500000,emp26@mail.com
27,EMP00027,Female,48.0,6.0,Analyst,2025-07-01,-10000,emp27@mail.com
28,EMP00028,Male,20.0,19.0,Engineer,,350000,
29,EMP00029,male,21.0,3.0,Engineer,,,INVALID
30,EMP00030,,36.0,12.0,QA,2025-07-01,,emp30@mail.com
31,EMP00031,Male,51.0,15.0,Manager,,800000,emp31@mail.com
32,EMP00032,Female,26.0,11.0,Intern,2025-07-01,,INVALID
33,EMP00033,male,21.0,7.0,QA,2025-07-01,500000,emp33@mail.com
34,EMP00034,male,39.0,99.0,Analyst,2025-07-01,-10000,
35,EMP00035,Female,42.0,8.0,QA,,-10000,
36,EMP00036,,34.0,20.0,Engineer,15/02/2024,,INVALID
37,EMP00037,Female,53.0,16.0,HR,2023-01-15,350000,
38,EMP00038,F,36.0,7.0,Intern,,800000,
39,EMP00039,,42.0,12.0,Analyst,15/02/2024,350000,INVALID
40,EMP00040,F,32.0,11.0,Engineer,,-10000,emp40@mail.com
41,EMP00041,F,,12.0,Intern,2023-01-15,6 LPA,emp41@mail.com
42,EMP00042,F,32.0,16.0,Engineer,,6 LPA,
43,EMP00043,Male,45.0,15.0,Manager,2023-01-15,6 LPA,INVALID
44,EMP00044,Female,28.0,1.0,Engineer,,,INVALID
45,EMP00045,male,58.0,16.0,Intern,2025-07-01,500000,INVALID
46,EMP00046,Male,20.0,99.0,Analyst,,6 LPA,INVALID
47,EMP00047,F,32.0,7.0,Analyst,2025-07-01,500000,
48,EMP00048,male,35.0,19.0,HR,2025-07-01,-10000,
49,EMP00049,Female,23.0,12.0,Manager,,-10000,
50,EMP00050,male,28.0,18.0,Engineer,,-10000,emp50@mail.com
51,EMP00051,F,31.0,20.0,Analyst,15/02/2024,500000,INVALID
52,EMP00052,F,59.0,4.0,QA,2023-01-15,800000,
53,EMP00053,Male,55.0,2.0,Engineer,15/02/2024,800000,emp53@mail.com
54,EMP00054,Male,52.0,15.0,QA,2023-01-15,350000,
55,EMP00055,M,59.0,17.0,QA,,500000,
56,EMP00056,F,52.0,18.0,Manager,,500000,
57,EMP00057,male,32.0,15.0,Engineer,,350000,
58,EMP00058,F,40.0,3.0,Intern,15/02/2024,,emp58@mail.com
59,EMP00059,Female,-2.0,10.0,Analyst,15/02/2024,6 LPA,
60,EMP00060,Female,36.0,5.0,Manager,15/02/2024,6 LPA,emp60@mail.com
61,EMP00061,F,51.0,6.0,Intern,15/02/2024,500000,
62,EMP00062,male,45.0,11.0,Manager,15/02/2024,800000,
63,EMP00063,Male,43.0,1.0,HR,,,
64,EMP00064,,21.0,13.0,HR,,-10000,
65,EMP00065,male,24.0,4.0,Engineer,2023-01-15,350000,
66,EMP00066,M,22.0,6.0,HR,15/02/2024,,
67,EMP00067,F,29.0,18.0,QA,,,
68,EMP00068,Male,37.0,2.0,Intern,15/02/2024,,emp68@mail.com
69,EMP00069,M,21.0,99.0,Analyst,2025-07-01,350000,INVALID
70,EMP00070,Male,36.0,4.0,Manager,2023-01-15,800000,
71,EMP00071,M,59.0,5.0,Analyst,,6 LPA,INVALID
72,EMP00072,Male,30.0,9.0,Analyst,15/02/2024,500000,
73,EMP00073,,39.0,17.0,Engineer,2025-07-01,,INVALID
74,EMP00074,M,42.0,1.0,HR,2023-01-15,350000,emp74@mail.com
75,EMP00075,,52.0,18.0,Engineer,,,INVALID
76,EMP00076,F,26.0,,Intern,,6 LPA,
77,EMP00077,male,45.0,17.0,HR,15/02/2024,500000,
78,EMP00078,Female,60.0,5.0,Manager,2025-07-01,350000,INVALID
79,EMP00079,Male,24.0,99.0,Intern,2025-07-01,,INVALID
80,EMP00080,Male,25.0,,Manager,,6 LPA,
81,EMP00081,male,35.0,10.0,Analyst,,500000,INVALID
82,EMP00082,M,48.0,1.0,HR,2025-07-01,800000,
83,EMP00083,Female,22.0,10.0,Engineer,2025-07-01,500000,emp83@mail.com
84,EMP00084,M,44.0,3.0,Manager,2025-07-01,-10000,INVALID
85,EMP00085,Female,52.0,1.0,Analyst,2025-07-01,350000,INVALID
86,EMP00086,F,57.0,2.0,Manager,2023-01-15,800000,
87,EMP00087,,34.0,3.0,QA,,500000,
88,EMP00088,M,51.0,5.0,HR,,6 LPA,INVALID
89,EMP00089,Male,52.0,99.0,Manager,,500000,emp89@mail.com
90,EMP00090,,57.0,,Intern,15/02/2024,350000,emp90@mail.com
91,EMP00091,Male,28.0,99.0,HR,2023-01-15,,
92,EMP00092,male,23.0,99.0,Analyst,,6 LPA,INVALID
93,EMP00093,F,36.0,1.0,Manager,2023-01-15,6 LPA,emp93@mail.com
94,EMP00094,,53.0,3.0,Intern,,800000,emp94@mail.com
95,EMP00095,M,35.0,7.0,Engineer,,,
96,EMP00096,Male,50.0,,HR,2023-01-15,-10000,INVALID
97,EMP00097,Male,58.0,5.0,HR,2025-07-01,6 LPA,
98,EMP00098,male,56.0,5.0,Analyst,,350000,
99,EMP00099,M,99.0,4.0,Intern,15/02/2024,6 LPA,
100,EMP00100,M,53.0,10.0,Manager,,,emp100@mail.com
101,EMP00101,male,32.0,10.0,Analyst,,350000,
102,EMP00102,F,24.0,17.0,Manager,2025-07-01,,INVALID
103,EMP00103,Female,24.0,19.0,Analyst,15/02/2024,6 LPA,
104,EMP00104,M,28.0,20.0,Intern,,800000,emp104@mail.com
105,EMP00105,,43.0,8.0,Manager,,,emp105@mail.com
106,EMP00106,Female,20.0,16.0,Intern,,,
107,EMP00107,,29.0,14.0,HR,,800000,emp107@mail.com
108,EMP00108,M,20.0,11.0,HR,,350000,INVALID
109,EMP00109,,20.0,10.0,HR,2025-07-01,350000,
110,EMP00110,F,57.0,3.0,HR,,800000,emp110@mail.com
111,EMP00111,M,26.0,2.0,Intern,2025-07-01,6 LPA,INVALID
112,EMP00112,Female,37.0,14.0,QA,2025-07-01,500000,
113,EMP00113,F,21.0,99.0,Manager,,-10000,INVALID
114,EMP00114,,25.0,2.0,Intern,,,INVALID
115,EMP00115,,38.0,16.0,Analyst,,500000,INVALID
116,EMP00116,F,46.0,11.0,HR,2025-07-01,800000,
117,EMP00117,F,,8.0,HR,,-10000,
118,EMP00118,Male,30.0,99.0,Engineer,2023-01-15,500000,
119,EMP00119,male,34.0,15.0,HR,,,INVALID
120,EMP00120,male,32.0,8.0,Analyst,15/02/2024,800000,emp120@mail.com
121,EMP00121,M,35.0,12.0,HR,,500000,emp121@mail.com
122,EMP00122,,46.0,13.0,Manager,,500000,
123,EMP00123,M,41.0,2.0,Manager,2025-07-01,-10000,
124,EMP00124,Female,99.0,17.0,QA,15/02/2024,350000,
125,EMP00125,Female,44.0,13.0,Intern,,,
126,EMP00126,Male,28.0,2.0,Manager,,-10000,
127,EMP00127,Male,24.0,13.0,QA,,,INVALID
128,EMP00128,Male,34.0,5.0,Engineer,,6 LPA,emp128@mail.com
129,EMP00129,,,15.0,Analyst,,350000,emp129@mail.com
130,EMP00130,Female,34.0,19.0,Analyst,2025-07-01,500000,
131,EMP00131,male,60.0,14.0,Intern,2023-01-15,350000,emp131@mail.com
132,EMP00132,M,53.0,19.0,Engineer,,800000,INVALID
133,EMP00133,male,20.0,1.0,QA,2025-07-01,,
134,EMP00134,M,,8.0,Manager,,500000,INVALID
135,EMP00135,Male,46.0,99.0,HR,2023-01-15,350000,INVALID
136,EMP00136,F,99.0,99.0,Manager,2023-01-15,800000,INVALID
137,EMP00137,,47.0,12.0,Engineer,,350000,
138,EMP00138,,46.0,12.0,Intern,,500000,emp138@mail.com
139,EMP00139,M,52.0,3.0,Engineer,,500000,
140,EMP00140,Female,34.0,15.0,Engineer,2025-07-01,800000,emp140@mail.com
141,EMP00141,male,51.0,20.0,Engineer,15/02/2024,,
142,EMP00142,,23.0,20.0,Engineer,,350000,INVALID
143,EMP00143,Male,58.0,5.0,Manager,2023-01-15,6 LPA,emp143@mail.com
144,EMP00144,Female,45.0,15.0,Intern,2025-07-01,6 LPA,emp144@mail.com
145,EMP00145,Male,30.0,11.0,Engineer,15/02/2024,6 LPA,
146,EMP00146,Male,39.0,,Intern,,800000,
147,EMP00147,F,30.0,4.0,Analyst,2023-01-15,800000,emp147@mail.com
148,EMP00148,M,46.0,4.0,QA,15/02/2024,,
149,EMP00149,M,47.0,3.0,Analyst,,500000,
150,EMP00150,male,48.0,7.0,HR,2025-07-01,6 LPA,
